,2019-20,2019-20,2019-20,2019-20,2020-21,2020-21,2020-21,2020-21,2021-22,2021-22,2021-22,2021-22,2022-23,2022-23,2022-23,2022-23,2023-24,2023-24,2023-24,2023-24,2024-25,2024-25,2024-25,2024-25,2025-26,2025-26,2025-26,2025-26,2026-27,2026-27,2026-27,2026-27,2027-28,2027-28,2027-28,2027-28,2028-29,2028-29,2028-29,2028-29
pu,EE-5th,6th-8th,9th-12th,EE-12th,EE-5th,6th-8th,9th-12th,EE-12th,EE-5th,6th-8th,9th-12th,EE-12th,EE-5th,6th-8th,9th-12th,EE-12th,EE-5th,6th-8th,9th-12th,EE-12th,EE-5th,6th-8th,9th-12th,EE-12th,EE-5th,6th-8th,9th-12th,EE-12th,EE-5th,6th-8th,9th-12th,EE-12th,EE-5th,6th-8th,9th-12th,EE-12th,EE-5th,6th-8th,9th-12th,EE-12th
28,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,2,3,2,7,8,6,6,20,14,9,10,33,20,12,14,46,27,15,20,62
29,57,26,48,131,61,28,51,140,65,31,53,149,61,38,50,149,57,44,45,146,61,45,46,152,64,43,50,157,66,40,54,160,68,42,59,169,69,46,64,179
30,74,40,51,165,84,39,53,176,87,48,53,188,102,43,66,211,115,51,62,228,127,57,75,259,134,70,83,287,143,79,91,313,149,85,100,334,156,92,109,357
31,7,4,13,24,13,6,16,35,19,7,16,42,25,12,17,54,29,14,18,61,34,19,20,73,38,22,22,82,43,27,25,95,48,30,29,107,53,33,33,119
32,1,5,2,8,0,6,1,7,0,4,3,7,3,1,5,9,7,2,9,18,12,5,12,29,17,8,16,41,22,11,20,53,27,14,24,65,32,17,28,77
33,112,50,53,215,106,59,52,217,102,57,62,221,95,57,69,221,84,62,68,214,83,58,73,214,80,52,74,206,78,42,76,196,76,42,79,197,71,43,81,195
34A,8,7,11,26,8,4,9,21,9,9,7,25,11,10,13,34,16,13,12,41,21,13,16,50,26,14,20,60,31,17,24,72,36,20,28,84,41,23,32,96
34B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,32,14,17,63,28,17,16,61,24,22,15,61,23,21,18,62,24,16,22,62,24,12,26,62,23,11,28,62,23,12,29,64,23,12,31,66,23,12,32,67
36,78,33,57,168,80,37,57,174,87,38,59,184,90,43,57,190,93,42,54,189,95,49,52,196,94,52,55,201,94,55,59,208,92,56,63,211,90,59,66,215
37A,746,325,368,"1,439",772,347,388,"1,507",793,343,415,"1,551",771,361,439,"1,571",760,389,436,"1,585",744,411,437,"1,592",722,402,448,"1,572",712,390,461,"1,563",690,386,480,"1,556",663,395,495,"1,553"
37B,162,72,71,305,192,96,97,385,205,94,116,415,206,103,128,437,198,110,129,437,195,111,132,438,191,107,133,431,188,99,135,422,183,98,138,419,178,100,140,418
38,27,16,21,64,26,15,21,62,26,17,18,61,27,14,21,62,26,15,19,60,26,15,18,59,26,17,19,62,26,16,20,62,25,16,21,62,25,17,22,64
39,51,29,39,119,55,24,41,120,52,28,44,124,55,35,39,129,60,35,41,136,62,33,41,136,64,36,44,144,67,41,48,156,69,42,53,164,71,46,58,175
40,11,3,9,23,17,9,11,37,27,12,13,52,41,17,19,77,56,20,28,104,69,28,37,134,82,37,46,165,95,46,55,196,107,53,65,225,119,59,73,251
41,382,170,203,755,417,179,216,812,444,177,232,853,447,199,237,883,472,207,241,920,473,231,246,950,468,233,255,956,467,252,265,984,457,251,277,985,444,255,287,986
42,5,5,11,21,9,9,10,28,12,11,15,38,16,15,18,49,22,17,18,57,27,18,23,68,32,19,27,78,37,21,30,88,42,24,34,100,47,27,38,112
43A,11,11,21,43,12,10,22,44,10,12,19,41,11,10,19,40,9,13,11,33,9,11,12,32,9,12,13,34,9,10,14,33,9,10,15,34,9,10,16,35
43B,5,3,5,13,5,4,4,13,5,3,6,14,5,3,6,14,6,2,4,12,6,2,5,13,6,2,5,13,6,3,5,14,6,3,5,14,6,3,5,14
44,3,3,7,13,2,3,7,12,1,3,6,10,0,3,5,8,0,2,4,6,0,1,4,5,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4
45,206,79,102,387,225,84,107,416,227,88,111,426,216,108,113,437,214,119,108,441,211,122,112,445,206,116,115,437,204,114,119,437,198,113,124,435,190,115,128,433
46,56,28,26,110,51,35,27,113,51,30,37,118,50,35,35,120,55,25,42,122,55,26,42,123,54,26,44,124,54,31,46,131,53,31,48,132,52,32,49,133
47,92,38,43,173,111,38,48,197,125,47,54,226,143,47,68,258,161,60,70,291,168,69,79,316,173,82,85,340,179,91,91,361,184,94,97,375,188,99,103,390
